time,ax,ay,az,atotal
4.333,0.00,0.06,-0.10,0.12
4.343,0.02,-0.03,-0.11,0.12
4.353,-0.02,-0.33,-0.26,0.42
4.363,0.00,0.14,-0.34,0.36
4.373,-0.02,0.10,-0.24,0.26
4.383,0.03,0.05,-0.11,0.13
4.393,0.01,-0.12,-0.18,0.22
4.403,-0.02,-0.34,-0.25,0.42
4.413,0.02,0.17,-0.32,0.37
4.423,-0.02,0.05,-0.24,0.25
4.433,0.02,0.18,-0.12,0.22
4.443,-0.01,-0.21,-0.17,0.26
4.453,0.00,-0.33,-0.28,0.43
4.463,0.01,0.09,-0.38,0.39
4.473,0.02,-0.07,-0.13,0.15
4.483,-0.01,0.30,-0.15,0.33
4.493,-0.02,-0.23,-0.30,0.38
4.503,-0.02,-0.29,-0.38,0.48
4.513,0.02,0.07,-0.39,0.40
4.523,-0.02,-0.02,-0.16,0.16
4.533,0.03,0.15,-0.06,0.16
4.543,-0.02,-0.25,-0.22,0.33
4.553,-0.03,-0.34,-0.36,0.50
4.563,0.01,0.13,-0.37,0.40
4.573,0.02,0.03,-0.08,0.09
4.583,0.02,0.15,-0.16,0.22
4.593,-0.01,-0.22,-0.22,0.31
4.603,-0.02,-0.24,-0.27,0.36
4.613,0.06,-0.03,-0.27,0.27
4.623,0.02,-0.07,0.03,0.08
4.633,0.03,0.15,0.01,0.15
4.643,-0.01,-0.23,-0.27,0.35
4.653,-0.03,-0.16,-0.32,0.35
4.663,0.05,0.10,-0.27,0.29
4.673,-0.01,-0.10,-0.12,0.15
4.683,0.03,0.15,-0.05,0.16
4.693,-0.03,-0.30,-0.12,0.32
4.703,-0.03,-0.20,-0.26,0.33
4.713,0.01,-0.03,-0.32,0.32
4.723,0.02,-0.07,-0.14,0.16
4.733,0.04,0.13,-0.13,0.19
4.743,-0.05,-0.27,-0.19,0.33
4.753,-0.01,-0.06,-0.43,0.43
4.763,-0.02,-0.07,-0.38,0.39
4.773,-0.00,-0.06,-0.21,0.21
4.782,0.04,-0.02,-0.03,0.05
4.793,-0.05,-0.26,-0.23,0.35
4.802,0.02,-0.18,-0.43,0.46
4.813,0.03,0.03,-0.34,0.34
4.823,0.00,-0.02,-0.20,0.20
4.832,0.06,-0.05,-0.04,0.08
4.842,-0.04,-0.24,-0.25,0.35
4.853,0.00,-0.15,-0.47,0.49
4.862,-0.01,0.07,-0.26,0.27
4.872,-0.00,-0.04,-0.14,0.15
4.882,0.05,-0.08,-0.07,0.12
4.892,-0.02,-0.37,-0.20,0.42
4.902,0.03,-0.05,-0.42,0.42
4.912,-0.01,0.00,-0.28,0.28
4.922,-0.01,0.03,-0.19,0.20
4.932,0.03,-0.16,-0.17,0.23
4.942,-0.01,-0.34,-0.33,0.47
4.952,0.03,0.01,-0.44,0.44
4.962,-0.02,0.03,-0.33,0.33
4.972,0.01,0.06,-0.05,0.08
4.982,-0.02,-0.26,-0.19,0.32
4.992,0.01,-0.42,-0.25,0.49
5.002,0.03,0.02,-0.39,0.39
5.012,-0.03,0.00,-0.23,0.23
5.022,0.04,0.08,-0.15,0.17
5.032,0.01,-0.29,-0.19,0.35
5.042,-0.01,-0.32,-0.29,0.43
5.052,0.03,0.09,-0.31,0.32
5.062,-0.02,-0.04,-0.28,0.29
5.072,0.03,0.12,-0.11,0.17
5.082,-0.02,-0.25,-0.15,0.30
5.092,0.01,-0.51,-0.25,0.57
5.102,0.05,0.06,-0.30,0.31
5.112,0.01,-0.06,-0.21,0.21
5.122,0.00,0.10,-0.06,0.12
5.132,-0.01,-0.24,-0.25,0.35
5.142,-0.04,-0.44,-0.42,0.61
5.152,0.03,0.11,-0.41,0.43
5.162,-0.02,-0.09,-0.31,0.32
5.172,0.00,0.06,-0.14,0.15
5.182,0.02,-0.24,-0.18,0.30
5.192,-0.01,-0.42,-0.35,0.55
5.202,0.04,-0.09,-0.29,0.30
5.212,-0.01,-0.02,-0.15,0.15
5.222,0.04,0.04,-0.08,0.10
5.232,-0.04,-0.29,-0.33,0.44
5.242,-0.00,-0.31,-0.40,0.51
5.252,-0.01,-0.05,-0.38,0.39
5.262,0.02,-0.06,-0.21,0.22
5.272,-0.00,0.04,-0.05,0.06
5.282,-0.04,-0.34,-0.26,0.43
5.292,0.00,-0.31,-0.37,0.48
5.302,0.04,-0.03,-0.45,0.45
5.312,0.01,-0.16,-0.24,0.29
5.322,0.05,0.03,-0.03,0.07
5.332,-0.03,-0.32,-0.34,0.47
5.342,-0.04,-0.31,-0.47,0.56
5.352,0.01,-0.04,-0.28,0.28
5.362,-0.00,-0.14,-0.19,0.24
5.372,0.04,-0.08,-0.10,0.13
5.382,-0.02,-0.42,-0.20,0.46
5.391,0.02,-0.17,-0.41,0.45
5.401,0.02,-0.12,-0.46,0.48
5.411,0.00,-0.11,-0.11,0.16
5.421,0.06,-0.03,0.02,0.07
5.431,-0.05,-0.50,-0.19,0.54
5.442,-0.01,-0.12,-0.40,0.42
5.451,-0.01,-0.03,-0.35,0.35
5.462,0.04,-0.13,-0.09,0.16
5.472,0.03,-0.15,-0.10,0.18
5.481,0.00,-0.54,-0.26,0.61
5.492,0.02,-0.05,-0.31,0.32
5.501,-0.00,-0.07,-0.29,0.29
5.512,0.00,-0.10,-0.18,0.21
5.521,0.05,-0.18,-0.15,0.24
5.531,-0.02,-0.45,-0.30,0.54
5.541,0.02,-0.06,-0.40,0.41
5.551,0.01,-0.03,-0.24,0.25
5.561,0.01,-0.12,-0.13,0.18
5.571,0.02,-0.29,-0.26,0.38
5.581,0.00,-0.46,-0.26,0.53
5.591,0.02,-0.12,-0.36,0.38
5.601,-0.00,-0.00,-0.35,0.35
5.611,0.01,-0.04,-0.13,0.13
5.621,-0.01,-0.31,-0.18,0.36
5.631,-0.02,-0.48,-0.24,0.54
5.641,0.03,-0.15,-0.23,0.28
5.651,0.02,-0.11,-0.26,0.29
5.661,0.02,-0.13,-0.18,0.22
5.671,-0.00,-0.24,-0.22,0.32
5.681,-0.02,-0.49,-0.31,0.58
5.691,0.03,-0.14,-0.32,0.35
5.701,-0.01,-0.08,-0.22,0.23
5.711,-0.02,-0.05,-0.14,0.15
5.721,-0.04,-0.33,-0.26,0.43
5.731,-0.03,-0.52,-0.40,0.65
5.741,0.03,-0.10,-0.48,0.50
5.751,0.01,-0.15,-0.28,0.32
5.761,0.03,0.03,-0.14,0.15
5.771,-0.04,-0.32,-0.33,0.46
5.781,-0.02,-0.44,-0.49,0.66
5.791,0.02,-0.19,-0.44,0.48
5.801,0.01,-0.18,-0.23,0.29
5.811,0.02,-0.04,-0.18,0.18
5.821,-0.05,-0.32,-0.33,0.46
5.831,-0.01,-0.40,-0.38,0.55
5.841,-0.01,-0.20,-0.46,0.50
5.851,-0.01,-0.15,-0.32,0.35
5.861,-0.00,-0.06,-0.19,0.20
5.871,-0.02,-0.36,-0.32,0.48
5.881,-0.03,-0.36,-0.51,0.63
5.891,0.04,-0.29,-0.46,0.55
5.901,-0.01,-0.18,-0.26,0.31
5.911,0.03,-0.03,-0.17,0.17
5.921,-0.07,-0.38,-0.47,0.61
5.931,-0.03,-0.32,-0.47,0.57
5.941,0.01,-0.18,-0.45,0.49
5.951,-0.04,-0.32,-0.27,0.42
5.961,0.06,-0.11,-0.07,0.15
5.971,-0.05,-0.48,-0.33,0.59
5.981,-0.03,-0.32,-0.50,0.60
5.991,-0.02,-0.14,-0.45,0.47
6.001,-0.01,-0.37,-0.24,0.44
6.011,0.05,-0.06,-0.09,0.12
6.021,-0.05,-0.51,-0.35,0.62
6.031,-0.01,-0.31,-0.43,0.53
6.041,-0.02,-0.20,-0.40,0.44
6.051,0.01,-0.36,-0.21,0.42
6.061,0.03,-0.23,-0.16,0.28
6.070,-0.04,-0.57,-0.29,0.63
6.080,0.01,-0.20,-0.47,0.51
6.091,-0.00,-0.22,-0.46,0.51
6.100,0.00,-0.24,-0.14,0.27
6.111,0.02,-0.32,-0.18,0.37
6.121,-0.01,-0.58,-0.35,0.67
6.131,0.01,-0.19,-0.43,0.47
6.141,0.00,-0.24,-0.39,0.45
6.150,-0.02,-0.20,-0.13,0.24
6.161,-0.00,-0.43,-0.16,0.46
6.170,-0.01,-0.65,-0.28,0.71
6.180,0.01,-0.21,-0.35,0.40
6.190,-0.01,-0.23,-0.20,0.30
6.200,-0.01,-0.24,-0.09,0.26
6.210,0.02,-0.45,-0.15,0.48
6.220,-0.00,-0.60,-0.27,0.66
6.230,-0.01,-0.19,-0.39,0.44
6.240,0.01,-0.19,-0.25,0.31
6.250,0.02,-0.23,-0.11,0.26
6.260,0.03,-0.51,-0.16,0.54
6.270,-0.02,-0.59,-0.14,0.60
6.280,0.03,-0.34,-0.29,0.45
6.290,-0.01,-0.20,-0.25,0.32
6.300,-0.00,-0.15,-0.02,0.15
6.310,0.01,-0.50,-0.28,0.57
6.320,0.11,-0.60,-0.98,1.16
6.330,0.07,-0.34,-0.64,0.73
6.340,0.04,-0.14,0.20,0.25
