# M, Cl, Cd, alpha, BF1, BF2, BF3, BF4
7.399999999999999911e-01,4.975299999999999723e-01,8.319999999999999271e-03,1.736799999999999899e+00,-1.116047326077564961e-01,-2.070000000000000728e-01,-2.696687326077564784e-01,-4.356999999999999068e-02
7.399999999999999911e-01,5.182499999999999885e-01,8.510000000000000203e-03,1.842100000000000071e+00,-8.905135279688014549e-02,-1.930000000000000604e-01,-2.643114404260669126e-01,-4.295999999999999125e-02
7.399999999999999911e-01,5.389800000000000146e-01,8.829999999999999308e-03,1.947400000000000020e+00,-5.169669854058223102e-02,-1.830000000000002736e-01,-2.560923932871397302e-01,-4.211999999999998384e-02
7.399999999999999911e-01,5.596299999999999608e-01,9.289999999999999647e-03,2.052599999999999980e+00,-3.131289388789149086e-02,-1.700000000000003730e-01,-2.509047626216076576e-01,-4.131999999999998868e-02
7.399999999999999911e-01,5.804099999999999815e-01,9.769999999999999171e-03,2.157900000000000151e+00,-1.695181355300956483e-02,-1.570000000000000284e-01,-2.387011268241336914e-01,-4.076999999999999375e-02
7.399999999999999911e-01,6.013899999999999801e-01,1.024000000000000084e-02,2.263199999999999878e+00,-7.954581485186240641e-03,-1.490000000000000213e-01,-2.225974396619838647e-01,-3.990999999999999409e-02
7.399999999999999911e-01,6.237099999999999866e-01,1.090999999999999956e-02,2.368399999999999839e+00,4.035807656861400972e-04,-1.410000000000000142e-01,-2.045172340334480143e-01,-3.979999999999999510e-02
7.399999999999999911e-01,6.460299999999999931e-01,1.149999999999999981e-02,2.473700000000000010e+00,3.625374680845450115e-03,-1.360000000000001208e-01,-1.899688798759877617e-01,-3.972999999999998061e-02
7.399999999999999911e-01,6.720500000000000362e-01,1.089999999999999997e-02,2.578899999999999970e+00,-2.957217406975964913e-02,-1.660000000000003695e-01,-1.742369649214641214e-01,-4.025000000000000105e-02
7.399999999999999911e-01,7.070699999999999763e-01,1.329999999999999932e-02,2.684200000000000141e+00,5.024846287530193578e-03,-1.790000000000002700e-01,-1.574476726364923973e-01,-4.295999999999999125e-02
