Group numbers,Specimen material,Test type,
,,,
,,,
Results Table 1,,,
,Group numbers,Specimen material,Test type
2,17,erethane_foam,compression
,,,
Results Table 2,,,
,,,
,,,
,,,
Time,Displacement,Force,
(s),(mm),(N),
85.9,2.86318,12.72973,
86,2.86714,12.50097,
86.1,2.87009,12.60614,
86.2,2.8732,12.58853,
86.3,2.87711,12.77687,
86.4,2.88011,12.73309,
86.5,2.88316,12.762,
86.6,2.88707,12.78979,
86.7,2.89012,12.54129,
86.8,2.89323,12.58062,
86.9,2.89709,12.71152,
87,2.90014,12.85072,
87.1,2.9032,12.78316,
87.2,2.90705,12.62507,
87.3,2.91011,12.60154,
87.4,2.91321,12.73405,
87.5,2.91702,12.65438,
87.6,2.92013,12.63044,
87.7,2.92329,12.55515,
87.8,2.92698,12.68452,
87.9,2.93009,12.67065,
88,2.9333,12.6679,
88.1,2.93689,12.58514,
88.2,2.94011,12.77256,
88.3,2.94337,12.53579,
88.4,2.9468,12.88905,
88.5,2.95012,12.76431,
88.6,2.95339,12.83209,
88.7,2.95677,12.92926,
88.8,2.9602,12.69418,
88.9,2.96341,12.78586,
89,2.96673,12.7746,
89.1,2.97021,12.86522,
89.2,2.97343,12.82956,
89.3,2.97664,12.95869,
89.4,2.98029,12.71541,
89.5,2.98339,12.87163,
89.6,2.98661,12.88851,
